antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Aloo Tikki'}),frozenset({'Coffee'}),0.02,0.06,0.02,1.0,16.666666666666668,1.0,0.0188,inf,0.9591836734693878,0.33333333333333337,1.0,0.6666666666666667
frozenset({'Coffee'}),frozenset({'Aloo Tikki'}),0.06,0.02,0.02,0.33333333333333337,16.666666666666668,1.0,0.0188,1.47,1.0,0.33333333333333337,0.3197278911564626,0.6666666666666667
frozenset({'Fruit Bowl'}),frozenset({'Paneer Curry+Roti'}),0.02,0.1,0.02,1.0,10.0,1.0,0.018000000000000002,inf,0.9183673469387756,0.19999999999999998,1.0,0.6
frozenset({'Paneer Curry+Roti'}),frozenset({'Fruit Bowl'}),0.1,0.02,0.02,0.19999999999999998,9.999999999999998,1.0,0.018000000000000002,1.2249999999999999,1.0,0.19999999999999998,0.1836734693877551,0.6
frozenset({'Cold Coffee'}),frozenset({'Chole Bhature'}),0.06,0.08,0.04,0.6666666666666667,8.333333333333334,1.0,0.0352,2.7600000000000007,0.9361702127659575,0.39999999999999997,0.6376811594202899,0.5833333333333334
frozenset({'Chole Bhature'}),frozenset({'Cold Coffee'}),0.08,0.06,0.04,0.5,8.333333333333334,1.0,0.0352,1.88,0.9565217391304348,0.39999999999999997,0.46808510638297873,0.5833333333333334
frozenset({'Vada Pav'}),frozenset({'Cold Coffee'}),0.04,0.06,0.02,0.5,8.333333333333334,1.0,0.0176,1.88,0.9166666666666669,0.25,0.46808510638297873,0.4166666666666667
frozenset({'Cold Coffee'}),frozenset({'Vada Pav'}),0.06,0.04,0.02,0.33333333333333337,8.333333333333334,1.0,0.0176,1.44,0.9361702127659575,0.25,0.30555555555555564,0.4166666666666667
frozenset({'Ice Cream'}),frozenset({'Chicken Curry+Rice'}),0.04,0.08,0.02,0.5,6.25,1.0,0.0168,1.84,0.875,0.2,0.45652173913043476,0.375
frozenset({'Chicken Curry+Rice'}),frozenset({'Ice Cream'}),0.08,0.04,0.02,0.25,6.25,1.0,0.0168,1.28,0.9130434782608695,0.2,0.21875,0.375
frozenset({'Brownie'}),frozenset({'Chicken Biryani'}),0.06,0.12,0.04,0.6666666666666667,5.555555555555556,1.0,0.0328,2.6400000000000006,0.8723404255319149,0.28571428571428575,0.6212121212121213,0.5
frozenset({'Chicken Biryani'}),frozenset({'Brownie'}),0.12,0.06,0.04,0.33333333333333337,5.555555555555556,1.0,0.0328,1.41,0.9318181818181819,0.28571428571428575,0.29078014184397166,0.5
frozenset({'Coffee'}),frozenset({'Maggi'}),0.06,0.06,0.02,0.33333333333333337,5.555555555555556,1.0,0.0164,1.41,0.8723404255319149,0.2,0.29078014184397166,0.33333333333333337
frozenset({'Maggi'}),frozenset({'Coffee'}),0.06,0.06,0.02,0.33333333333333337,5.555555555555556,1.0,0.0164,1.41,0.8723404255319149,0.2,0.29078014184397166,0.33333333333333337
frozenset({'Ice Cream'}),frozenset({'Paneer Curry+Roti'}),0.04,0.1,0.02,0.5,5.0,1.0,0.016,1.8,0.8333333333333334,0.16666666666666666,0.4444444444444445,0.35
frozenset({'Paneer Curry+Roti'}),frozenset({'Ice Cream'}),0.1,0.04,0.02,0.19999999999999998,4.999999999999999,1.0,0.016,1.2,0.8888888888888888,0.16666666666666666,0.16666666666666666,0.35
frozenset({'Gulab Jamun'}),frozenset({'Chicken Biryani'}),0.04,0.12,0.02,0.5,4.166666666666667,1.0,0.015200000000000002,1.76,0.7916666666666669,0.14285714285714285,0.4318181818181818,0.33333333333333337
frozenset({'Gulab Jamun'}),frozenset({'Veg Biryani'}),0.04,0.12,0.02,0.5,4.166666666666667,1.0,0.015200000000000002,1.76,0.7916666666666669,0.14285714285714285,0.4318181818181818,0.33333333333333337
frozenset({'Chicken Biryani'}),frozenset({'Gulab Jamun'}),0.12,0.04,0.02,0.16666666666666669,4.166666666666667,1.0,0.015200000000000002,1.1520000000000001,0.8636363636363636,0.14285714285714285,0.13194444444444445,0.33333333333333337
frozenset({'Veg Biryani'}),frozenset({'Gulab Jamun'}),0.12,0.04,0.02,0.16666666666666669,4.166666666666667,1.0,0.015200000000000002,1.1520000000000001,0.8636363636363636,0.14285714285714285,0.13194444444444445,0.33333333333333337
frozenset({'Brownie'}),frozenset({'Paneer Curry+Roti'}),0.06,0.1,0.02,0.33333333333333337,3.3333333333333335,1.0,0.014,1.35,0.7446808510638298,0.14285714285714285,0.2592592592592593,0.26666666666666666
frozenset({'Paneer Curry+Roti'}),frozenset({'Brownie'}),0.1,0.06,0.02,0.19999999999999998,3.333333333333333,1.0,0.014,1.1749999999999998,0.7777777777777777,0.14285714285714285,0.14893617021276595,0.26666666666666666
frozenset({'Bread Pakora'}),frozenset({'Tea'}),0.02,0.4,0.02,1.0,2.5,1.0,0.012,inf,0.6122448979591837,0.049999999999999996,1.0,0.525
frozenset({'Samosa'}),frozenset({'Tea'}),0.04,0.4,0.04,1.0,2.5,1.0,0.024,inf,0.6250000000000001,0.09999999999999999,1.0,0.55
frozenset({'Vada Pav'}),frozenset({'Lassi'}),0.04,0.2,0.02,0.5,2.5,1.0,0.012,1.6,0.6250000000000001,0.0909090909090909,0.37499999999999994,0.3
frozenset({'Veg Biryani'}),frozenset({'Lassi'}),0.12,0.2,0.06,0.5,2.5,1.0,0.036,1.6,0.6818181818181818,0.23076923076923075,0.37499999999999994,0.4
