customer_id,frequency_count,monetary_total,avg_order_value,weekend_ratio,lunch_ratio,snacks_ratio,dinner_ratio,last_date,recency_days,avg_customer_age,dominant_gender,cluster_kmeans,cluster_dbscan,cluster_gmm,cluster_hierarchical,selected_model,cluster_label,frequency_count_feat,monetary_total_feat,avg_order_value_feat,weekend_ratio_feat,lunch_ratio_feat,snacks_ratio_feat,dinner_ratio_feat,last_date_feat,recency_days_feat,avg_customer_age_feat,dominant_gender_feat,anomaly_flag,anomaly_score
CUST1001,1,34,34.0,1.0,1.0,0.0,0.0,2024-01-07 19:17:00,173,38.0,M,2,-1,2,4,KMeans,2,1,34,34.0,1.0,1.0,0.0,0.0,2024-01-07 19:17:00,173,38.0,M,0,0.030148132506697567
CUST1002,1,142,142.0,0.0,1.0,0.0,0.0,2024-01-09 08:05:00,172,36.0,F,2,0,2,0,KMeans,2,1,142,142.0,0.0,1.0,0.0,0.0,2024-01-09 08:05:00,172,36.0,F,0,0.12671432815844452
CUST1003,1,105,105.0,0.0,1.0,0.0,0.0,2024-06-27 14:21:00,2,42.0,M,2,0,2,0,KMeans,2,1,105,105.0,0.0,1.0,0.0,0.0,2024-06-27 14:21:00,2,42.0,M,0,0.10596275576579295
CUST1004,1,85,85.0,0.0,0.0,0.0,1.0,2024-03-29 17:16:00,92,21.0,F,1,1,1,1,KMeans,1,1,85,85.0,0.0,0.0,0.0,1.0,2024-03-29 17:16:00,92,21.0,F,0,0.10394075413227499
CUST1005,1,205,205.0,1.0,0.0,1.0,0.0,2024-06-29 09:02:00,0,36.0,M,4,-1,4,3,KMeans,4,1,205,205.0,1.0,0.0,1.0,0.0,2024-06-29 09:02:00,0,36.0,M,0,0.027882484108508576
CUST1006,1,125,125.0,1.0,1.0,0.0,0.0,2024-02-11 13:22:00,139,38.0,F,2,5,2,4,KMeans,2,1,125,125.0,1.0,1.0,0.0,0.0,2024-02-11 13:22:00,139,38.0,F,0,0.09196183976070904
CUST1007,1,121,121.0,0.0,1.0,0.0,0.0,2024-06-12 19:35:00,16,30.0,F,2,0,2,0,KMeans,2,1,121,121.0,0.0,1.0,0.0,0.0,2024-06-12 19:35:00,16,30.0,F,0,0.14133555406603243
CUST1008,1,59,59.0,1.0,0.0,1.0,0.0,2024-02-24 17:56:00,126,26.0,M,0,-1,4,3,KMeans,0,1,59,59.0,1.0,0.0,1.0,0.0,2024-02-24 17:56:00,126,26.0,M,0,0.04390260084127573
CUST1009,1,80,80.0,0.0,0.0,1.0,0.0,2024-02-05 11:47:00,145,22.0,F,0,2,0,3,KMeans,0,1,80,80.0,0.0,0.0,1.0,0.0,2024-02-05 11:47:00,145,22.0,F,0,0.09012076595204066
CUST1010,1,60,60.0,0.0,0.0,0.0,1.0,2024-01-24 20:03:00,156,34.0,F,1,1,1,1,KMeans,1,1,60,60.0,0.0,0.0,0.0,1.0,2024-01-24 20:03:00,156,34.0,F,0,0.08945176719194137
